Channel              :,CH1
Frequency            :,1.401KHz
Period               :,0.714ms
PK-PK                :,1.033V
Probe attenuation    :,1X
Voltage per ADC value:,0.500000mV
Time interval        :,0.40000uS

index,CH1_Voltage(mV)
1,503.500000
2,503.500000
3,505.000000
4,505.500000
5,502.000000
6,502.500000
7,503.500000
8,504.500000
9,504.500000
10,503.500000
11,503.000000
12,504.000000
13,504.500000
14,501.500000
15,505.000000
16,506.000000
17,502.000000
18,504.500000
19,503.500000
20,504.500000
21,505.000000
22,505.500000
23,504.000000
24,503.000000
25,504.000000
26,505.000000
27,503.000000
28,504.500000
29,504.500000
30,504.500000
31,503.500000
32,503.500000
33,503.500000
34,504.500000
35,505.000000
36,505.000000
37,506.500000
38,505.500000
39,503.500000
40,503.500000
41,503.000000
42,504.500000
43,504.500000
44,503.500000
45,502.500000
46,503.500000
47,502.500000
48,503.000000
49,503.000000
50,506.500000
51,503.000000
52,503.500000
53,504.500000
54,504.000000
55,505.000000
56,500.500000
57,503.000000
58,503.000000
59,503.500000
60,504.000000
61,502.500000
62,504.500000
63,502.500000
64,504.500000
65,505.000000
66,502.500000
67,504.500000
68,501.500000
69,503.500000
70,503.500000
71,503.500000
72,506.500000
73,503.500000
74,504.000000
75,506.000000
76,505.000000
77,503.500000
78,504.500000
79,503.500000
80,504.500000
81,504.000000
82,505.500000
83,505.000000
84,502.500000
85,503.500000
86,504.000000
87,505.500000
88,504.000000
89,503.500000
90,504.500000
91,504.500000
92,505.000000
93,502.500000
94,503.000000
95,504.000000
96,502.000000
97,504.000000
98,501.000000
99,503.500000
100,501.500000
101,502.500000
102,504.000000
103,505.000000
104,501.000000
105,503.500000
106,505.500000
107,501.500000
108,502.500000
109,503.000000
110,503.000000
111,502.000000
112,505.000000
113,502.000000
114,503.500000
115,502.500000
116,502.500000
117,502.500000
118,505.500000
119,503.000000
120,504.500000
121,505.000000
122,503.500000
123,503.500000
124,506.000000
125,505.000000
126,503.000000
127,504.000000
128,501.000000
129,501.500000
130,502.500000
131,502.500000
132,502.000000
133,503.000000
134,503.000000
135,505.500000
136,502.500000
137,502.500000
138,503.000000
139,503.000000
140,504.000000
141,502.500000
142,503.000000
143,503.000000
144,504.000000
145,504.500000
146,504.000000
147,505.000000
148,504.000000
149,503.000000
150,502.500000
151,503.500000
152,504.000000
153,501.500000
154,500.500000
155,506.000000
156,503.500000
157,503.500000
158,501.500000
159,502.000000
160,500.000000
161,502.500000
162,501.500000
163,504.000000
164,502.500000
165,502.500000
166,505.000000
167,503.500000
168,503.500000
169,503.500000
170,504.500000
171,503.500000
172,502.000000
173,504.500000
174,501.000000
175,500.000000
176,503.000000
177,505.500000
178,502.500000
179,503.500000
180,503.500000
181,502.000000
182,501.000000
183,504.500000
184,501.000000
185,504.500000
186,503.000000
187,502.000000
188,502.000000
189,504.000000
190,503.000000
191,505.000000
192,502.000000
193,505.000000
194,504.000000
195,502.500000
196,503.500000
197,504.000000
198,505.000000
199,504.000000
200,504.000000
201,502.500000
202,503.500000
203,502.500000
204,504.500000
205,503.000000
206,503.500000
207,501.500000
208,503.000000
209,501.000000
210,504.000000
211,502.000000
212,503.500000
213,502.000000
214,505.500000
215,504.500000
216,504.500000
217,504.000000
218,506.000000
219,505.500000
220,503.500000
221,503.500000
222,505.000000
223,503.000000
224,504.000000
225,503.500000
226,502.000000
227,504.500000
228,501.500000
229,503.000000
230,500.500000
231,503.500000
232,503.000000
233,503.000000
234,500.000000
235,502.500000
236,502.000000
237,504.000000
238,501.500000
239,502.500000
240,502.000000
241,504.000000
242,503.000000
243,503.500000
244,501.500000
245,501.000000
246,503.000000
247,504.500000
248,500.000000
249,503.000000
250,502.000000
251,501.000000
252,503.000000
253,503.000000
254,503.000000
255,502.500000
